sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,1000,11,2,54,5.676414008861581,0.0,34.196217898300446,55.401880364531685,1659.0
post login,1000,45,33,94,5.745812736245463,0.0,34.203235626090226,101.24358154906454,3031.1
ajax post search,1000,15,5,55,3.8910003855049955,0.0,34.22547744541036,88.87260207748648,2659.0
get view hotel,1000,16,5,159,5.906710675155843,0.0,34.22547744541036,80.44992598740502,2407.0
post book hotel,1000,30,18,173,9.020564893619467,0.0,34.2102562348192,389.4423407512572,11657.0
ajax post cc number,1000,14,4,60,4.731654995876177,0.0,34.22899195618689,58.262825175423586,1743.0
ajax post cc name,1000,15,3,53,3.9889095001015025,0.0,34.22899195618689,58.697372924867366,1756.0
post booking details,1000,30,19,174,6.578464182466902,0.0,34.214938242036474,83.19843381120197,2490.0
post confirm booking,1000,16,3,147,5.821478849914345,0.0,34.22547744541036,8.288982818810322,248.0
get confirm booking,1000,31,18,170,6.525096091246478,0.0,34.231335364392564,190.87980950261868,5710.0
cancel booking,1000,30,18,77,4.950934861215617,0.0,34.22782037239869,176.75460364184008,5288.0
get logout,1000,16,5,54,4.124905332247037,0.0,34.24422984727073,55.60674354496267,1662.8
TOTAL,12000,22,2,174,11.530512389838629,0.0,406.69694299464516,1334.1731607554395,3359.241666666667
