sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,3000,21,16,42,2,229,0.0,74.99437542184337,161.53329515911307
post login,3000,27,19,55,4,274,0.0,74.96813854112003,229.38434758977434
ajax post search,3000,31,20,66,5,260,0.0,74.97750674797561,305.895487213211
get view hotel,3000,27,18,62,2,283,0.0,74.97938067031566,211.57382403432806
post book hotel,3000,32,22,68,6,259,0.0,74.97001199520193,485.1645035345237
ajax post cc number,3000,30,20,64,5,323,0.0,74.97938067031566,54.53302587882082
ajax post cc name,3000,30,20,63,5,296,0.0,74.97750674797561,48.74726546879686
post booking details,3000,32,21,68,5,402,0.0,74.9737591842855,247.9478129920153
post confirm booking,3000,41,26,95,6,276,0.0,74.97750674797561,557.97318421661
cancel booking,3000,41,26,91,6,290,0.0,74.98125468632843,494.73700910709823
get logout,3000,35,23,77,3,397,0.0,74.98687729647311,167.87904401885922
TOTAL,33000,32,21,70,2,402,0.0,821.6926869350863,2954.3679463596523
