sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,7,3,17,1,228,0.0,98.9339862976429,158.83542331379388
post login,4000,22,13,49,5,293,0.0,98.9339862976429,344.89460052311347
ajax post search,4000,12,6,28,3,276,0.0,98.95111814763506,253.6588722046309
get view hotel,4000,15,8,35,3,274,0.0,98.956014051754,231.25170080649153
post book hotel,4000,169,162,292,8,612,0.0,98.956014051754,1138.1874350601158
ajax post cc number,4000,12,5,28,2,229,0.0,98.9731535321044,142.1772547321539
ajax post cc name,4000,10,5,23,2,290,0.0,98.9731535321044,143.82036372633922
post booking details,4000,18,10,43,3,287,0.0,98.96825593190985,240.7518803968627
post confirm booking,4000,9,4,23,1,255,0.0,98.9756025139803,25.613803384965603
get confirm booking,4000,19,10,43,4,365,0.0,98.96825593190985,601.6381275979167
cancel booking,4000,23,13,51,5,366,0.0,98.96335881639823,560.8729273748114
get logout,4000,17,8,42,2,298,0.0,98.97070467141727,158.89437351543944
TOTAL,48000,28,9,69,1,612,0.0,1185.7121683711277,3994.5681635896817
