sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,8000,16,15,25,1,286,0.0,150.37876651816765,244.3933979022162
post login,8000,37,33,60,4,368,0.0,150.2996599470194,519.8676629107408
ajax post search,8000,19,15,33,2,274,0.0,150.3222533305774,335.02338215674854
get view hotel,8000,19,16,34,2,341,0.0,150.31942878617062,390.2125023487411
post book hotel,8000,148,150,248,8,531,0.0,150.2742505071756,1433.035211135322
ajax post cc number,8000,16,14,27,1,252,0.0,150.3222533305774,198.05984469832202
ajax post cc name,8000,16,15,27,1,288,0.0,150.31942878617062,201.43243846298384
post booking details,8000,33,30,52,3,337,0.0,150.2742505071756,404.595809226839
post confirm booking,8000,19,16,33,1,297,0.0,150.32790273784693,22.635800120262324
get confirm booking,8000,18,16,29,2,277,0.0,150.32790273784693,889.370114343161
cancel booking,8000,36,31,60,4,323,0.0,150.2968362515969,815.1842075599309
get logout,8000,16,14,27,1,270,0.0,150.33637764498064,244.47132098695832
TOTAL,96000,33,18,64,1,531,0.0,1796.6425242827465,5676.122360596448
