sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,4000,25,2,267,28.394530546172092,0.0,77.96207145223849,167.9247059977196,2205.6225
post login,4000,37,4,311,39.94741167772951,0.0,77.9423226812159,238.49250870761887,3133.2955
ajax post search,4000,40,5,445,43.77161814392404,0.0,77.9362481490141,317.9677339366086,4177.76025
get view hotel,4000,36,2,331,42.21310511855293,0.0,77.9377666932954,219.9231764998149,2889.502
post book hotel,4000,42,6,457,44.29753494764127,0.0,77.93017456359102,504.3192837303713,6626.73925
ajax post cc number,4000,37,5,414,40.00912848260381,0.0,77.9377666932954,56.682923743984176,744.73925
ajax post cc name,4000,39,5,373,42.932650290163785,0.0,77.93472966390648,50.66817233925962,665.73925
post booking details,4000,42,5,296,44.018581638184344,0.0,77.93321123796906,257.7361269751198,3386.5125
post confirm booking,4000,57,6,476,57.22903056524285,0.0,77.93472966390648,579.9832562104237,7620.516
cancel booking,4000,58,6,452,58.999389615486706,0.0,77.91954806662122,514.1267988458167,6756.531
get logout,4000,43,3,298,44.78406009954881,0.0,77.91651245690242,174.43823640235112,2292.51475
TOTAL,44000,41,2,476,45.81843090480071,0.0,854.6842524426488,3072.999038024951,3681.7702045454544
