sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,6000,21,15,38,1,430,0.0,131.31114175037754,295.41801055413305
post login,6000,34,20,78,3,424,0.0,131.27666557269447,447.0137122579587
ajax post search,6000,36,20,87,3,455,0.0,131.27666557269447,541.9008450935346
get view hotel,6000,32,18,75,2,455,0.0,131.27953789602662,379.5773482627341
post book hotel,6000,35,20,81,4,420,0.0,131.26804935678658,890.6742255185088
ajax post cc number,6000,25,17,49,2,439,0.0,131.19342283640182,120.9439366773079
ajax post cc name,6000,24,17,45,2,334,0.0,131.18481754378294,110.81529997594944
post booking details,6000,26,18,49,3,403,0.0,131.18481754378294,445.2802162363076
post confirm booking,6000,48,24,118,4,491,0.0,131.19055428009182,1004.8120285339455
cancel booking,6000,48,25,119,4,474,0.0,131.19629151815977,898.8995911048914
get logout,6000,32,21,68,3,424,0.0,131.19629151815977,306.1793453305053
TOTAL,66000,33,19,75,1,491,0.0,1438.4726036354125,5422.352107035439
