sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,16000,26,15,54,1,710,0.0,187.8154712994483,363.99843135564623
post login,16000,50,20,139,2,733,0.0,187.78681501825054,595.1881898047898
ajax post search,16000,52,20,147,3,878,0.0,187.7713883347025,595.4414323802957
get view hotel,16000,48,18,138,2,841,0.0,187.7713883347025,488.5597324807828
post book hotel,16000,49,20,135,3,1042,0.0,187.76698117636016,1137.9781892331773
ajax post cc number,16000,34,16,79,2,570,0.0,187.7713883347025,113.5326624112487
ajax post cc name,16000,31,16,72,1,578,0.0,187.76918472967105,115.36936848308903
post booking details,16000,34,17,78,2,595,0.0,187.76918472967105,539.1390562838131
post confirm booking,16000,64,23,184,3,844,0.0,187.76698117636016,1217.7703546558876
cancel booking,16000,62,24,177,3,955,0.0,187.7735919914563,1080.8388693535894
get logout,16000,50,22,138,3,750,0.0,187.76918472967105,379.60141085437914
TOTAL,176000,45,19,125,1,1042,0.0,2062.1455687303746,6616.62230478453
