sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,2000,26,2,214,10.407176562353497,0.0,95.01639032733146,121.83253955057248,1313.0
post login,2000,14,1,204,7.108420640339176,0.0,95.04348239319489,223.01247742717294,2402.74
ajax post search,2000,9,1,41,4.632755092814643,0.0,95.05251651537475,246.09597779335581,2651.19
get view hotel,2000,13,1,191,6.351580728448628,0.0,95.04348239319489,201.7994033051371,2174.19
post book hotel,2000,13,1,40,4.62577117894952,0.0,95.04348239319489,516.2596751294967,5562.19
ajax post cc number,2000,11,1,201,7.458096204796503,0.0,95.06155235514996,17.74884589334094,191.19
ajax post cc name,2000,13,1,195,7.754140426249709,0.0,95.03896597605018,16.816513911328645,181.19
post booking details,2000,14,1,192,8.645560002105128,0.0,95.06155235514996,245.7480378701459,2647.19
post confirm booking,2000,14,2,202,8.617407904932898,0.0,95.05703422053232,528.4939029824145,5693.19
cancel booking,2000,11,1,198,9.316991789198916,0.0,95.06155235514996,451.74567915537807,4866.19
get logout,2000,11,1,208,6.170545336516054,0.0,95.05703422053232,143.43865108127378,1545.19
TOTAL,22000,14,1,214,8.643299054376659,0.0,1037.4422333301895,2691.9203659931154,2657.0409090909093
