sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,28,28,41,3,260,0.0,152.02766903576452,200.27863821215462
post login,4000,17,16,24,2,203,0.0,151.98145826209202,379.2063540123105
ajax post search,4000,15,13,24,1,212,0.0,151.9987840097279,413.5717695508436
get view hotel,4000,15,14,22,1,201,0.0,151.98145826209202,339.9086092746685
post book hotel,4000,15,15,21,2,202,0.0,151.98145826209202,874.0700040845018
ajax post cc number,4000,14,13,21,1,211,0.0,152.00456013680412,48.7171646399392
ajax post cc name,4000,15,15,20,1,203,0.0,151.98145826209202,47.225566605874086
post booking details,4000,16,15,21,2,209,0.0,151.98145826209202,399.2763664082982
post confirm booking,4000,17,16,24,2,232,0.0,151.99300832161722,853.652997587111
cancel booking,4000,16,14,27,2,211,0.0,151.99300832161722,744.8533148725159
get logout,4000,16,14,26,2,210,0.0,151.99300832161722,255.32895799293232
TOTAL,44000,17,15,29,1,260,0.0,1662.4475762269997,4530.357821768618
