sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,20000,36,17,74,1,757,0.0,163.04968123787316,367.4360233813243
post login,20000,93,24,307,3,1639,0.0,163.03240269003464,575.1826551992052
ajax post search,20000,95,24,318,3,3056,0.0,163.02974477693454,673.6010933436993
get view hotel,20000,82,21,278,2,3050,0.0,163.02841585288317,470.95856537286636
post book hotel,20000,88,24,288,3,3052,0.0,163.02442921071722,1104.513934704131
ajax post cc number,20000,44,19,107,2,3160,0.0,163.02974477693454,113.13310627195806
ajax post cc name,20000,43,19,101,2,726,0.0,163.02708695049682,114.77489812080715
post booking details,20000,46,21,113,3,867,0.0,163.025758069775,552.9406248726361
post confirm booking,20000,124,32,399,4,2201,0.0,163.02708695049682,1268.6142385565174
cancel booking,20000,115,29,368,4,3119,0.0,163.02974477693454,1136.9411646029816
get logout,20000,72,36,187,3,3146,0.0,163.02841585288317,381.0015233604436
TOTAL,220000,76,23,232,1,3160,0.0,1791.2392118547468,6751.252873552252
