sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,20000,174,46,270,2,5849,0.0,53.27281541502187,78.03635070559844
post login,20000,367,34,983,3,17476,0.0,53.272531617247516,147.50756397115427
ajax post search,20000,346,41,920,4,11624,0.0,53.27267351575672,231.03249870314335
get view hotel,20000,290,26,777,2,11552,0.0,53.27295731504295,129.2211431211294
post book hotel,20000,132,29,201,3,5826,0.0,53.272531617247516,309.3181523820813
ajax post cc number,20000,123,23,165,2,7819,0.0,53.27295731504295,17.55672477442232
ajax post cc name,20000,110,23,134,1,6102,0.0,53.27267351575672,17.038021248138786
post booking details,20000,115,24,152,2,5570,0.0,53.273099215819975,147.99650382800513
post confirm booking,20000,493,77,1260,5,18954,0.0,53.27267351575672,414.9399982178626
cancel booking,20000,459,61,1179,5,15807,0.0,53.27267351575672,358.91138207294625
get logout,20000,195,50,351,2,7711,0.0,53.27324111735296,93.15614642932772
TOTAL,220000,255,35,616,1,18954,0.0,585.7544517338332,1943.8996169964641
