sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,8000,28,15,60,2,582,0.0,52.885918463135205,88.57358414480164
post login,8000,234,227,370,9,789,0.0,52.877179531243804,137.76983885679536
ajax post search,8000,114,103,201,3,674,0.0,52.88242254377673,188.91006021985868
get view hotel,8000,111,102,190,4,676,0.0,52.881024305440796,119.08300585657345
post book hotel,8000,193,162,344,13,1051,0.0,52.874383682965195,506.95380761655497
ajax post cc number,8000,38,18,97,2,670,0.0,52.88382085605685,8.004875227235168
ajax post cc name,8000,12,3,24,1,455,0.0,52.88556885039995,7.756231614001454
post booking details,8000,137,85,321,14,1008,0.0,52.876131053490816,142.6209706735758
post confirm booking,8000,209,173,393,11,938,0.0,52.881024305440796,392.73456039343483
cancel booking,8000,287,270,465,11,955,0.0,52.878577566263466,315.3608136691123
get logout,8000,54,24,138,4,706,0.0,52.888715531432425,88.62733536734518
TOTAL,88000,129,95,308,1,1051,0.0,580.9731299927379,1994.0046141562686
