sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,1000,13,13,17,2,166,0.0,54.8305735277991,123.30185858509705
post login,1000,16,17,20,6,71,0.0,54.81254110940583,193.02685985803552
ajax post search,1000,13,13,17,4,171,0.0,54.791518272971345,226.1220275601337
get view hotel,1000,14,14,17,6,65,0.0,54.8065329387263,158.09115696591036
post book hotel,1000,17,17,20,4,182,0.0,54.78851632697786,370.9460778270875
ajax post cc number,1000,13,13,16,3,49,0.0,54.797523151953534,37.78032357937421
ajax post cc name,1000,15,15,18,5,47,0.0,54.794520547945204,38.31335616438356
post booking details,1000,15,16,19,6,39,0.0,54.78851632697786,185.5939588812185
post confirm booking,1000,16,16,20,5,170,0.0,54.8456096089508,426.49959894147975
cancel booking,1000,14,14,18,5,176,0.0,54.905836490418935,382.6250480426069
get logout,1000,14,13,17,4,46,0.0,54.905836490418935,128.0828769285675
TOTAL,11000,14,15,18,2,182,0.0,598.0210938349462,2251.0806215681746
