sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,16000,27,2,335,24.915688205112357,0.0,217.8827246234714,279.3750170220879,1313.0
post login,16000,14,1,318,18.332133898631216,0.0,217.89162615244243,511.5527246666939,2404.085
ajax post search,16000,13,1,320,16.829691062110847,0.0,217.90052840878138,564.2638584948862,2651.6970625
get view hotel,16000,14,1,317,18.168129632404206,0.0,217.89162615244243,462.7629275272024,2174.79325
post book hotel,16000,13,1,310,16.652822536660263,0.0,217.89162615244243,1183.6575854373493,5562.69825
ajax post cc number,16000,12,1,319,16.74791336244888,0.0,217.90349598921378,40.806845148923415,191.76475
ajax post cc name,16000,13,1,311,14.503656852993146,0.0,217.8886588953045,38.662603028992805,181.700625
post booking details,16000,13,1,309,17.104177715066974,0.0,217.89162615244243,563.4098810660688,2647.7920625
post confirm booking,16000,15,1,315,17.85866926033404,0.0,217.89756090917757,1211.5694348452246,5693.71725
cancel booking,16000,14,1,318,17.519093547737423,0.0,217.90349598921378,1035.592283088135,4866.5878125
get logout,16000,15,1,316,18.479609567033606,0.0,217.90052840878138,328.9102212584096,1545.6780625
TOTAL,176000,15,1,335,18.50284172378231,0.0,2391.629297458894,6207.007177648117,2657.5921931818184
