sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,16000,27,27,38,2,335,0.0,217.8827246234714,279.3750170220879
post login,16000,14,14,22,1,318,0.0,217.89162615244243,511.5527246666939
ajax post search,16000,13,12,22,1,320,0.0,217.90052840878138,564.2638584948862
get view hotel,16000,14,13,22,1,317,0.0,217.89162615244243,462.7629275272024
post book hotel,16000,13,13,21,1,310,0.0,217.89162615244243,1183.6575854373493
ajax post cc number,16000,12,11,21,1,319,0.0,217.90349598921378,40.806845148923415
ajax post cc name,16000,13,13,20,1,311,0.0,217.8886588953045,38.662603028992805
post booking details,16000,13,13,21,1,309,0.0,217.89162615244243,563.4098810660688
post confirm booking,16000,15,14,23,1,315,0.0,217.89756090917757,1211.5694348452246
cancel booking,16000,14,13,23,1,318,0.0,217.90349598921378,1035.592283088135
get logout,16000,15,14,24,1,316,0.0,217.90052840878138,328.9102212584096
TOTAL,176000,15,13,26,1,335,0.0,2391.629297458894,6207.007177648117
