sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,12000,28,2,280,21.741918554660717,0.0,219.18608898955213,281.0462254328925,1313.0
post login,12000,15,1,269,19.038795418828368,0.0,219.1580677563693,514.355852205278,2403.29
ajax post search,12000,14,1,267,15.099797566707824,0.0,219.1700759789597,567.442884506502,2651.19
get view hotel,12000,14,1,271,15.84722757013738,0.0,219.1580677563693,465.3235149758013,2174.19
post book hotel,12000,13,1,268,14.736054400875274,0.0,219.1580677563693,1190.428528216601,5562.19
ajax post cc number,12000,13,0,272,15.591613520085799,0.0,219.1740790122555,40.92176969370423,191.19
ajax post cc name,12000,14,1,295,16.288781916594896,0.0,219.1580677563693,38.778564742945846,181.19
post booking details,12000,14,1,274,17.311261110104667,0.0,219.1580677563693,566.5557083827961,2647.19
post confirm booking,12000,16,1,271,17.204312172630825,0.0,219.1740790122555,1218.5543700115068,5693.19
cancel booking,12000,15,1,266,15.599568636975903,0.0,219.17808219178082,1041.5646404109589,4866.19
get logout,12000,16,1,279,16.424472513092567,0.0,219.17808219178082,330.7341609589041,1545.19
TOTAL,132000,16,0,295,17.377423725869935,0.0,2404.1964155617075,6238.445741658166,2657.090909090909
