sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,1000,14,14,20,2,61,0.0,47.09428275407366,101.93796652773852
post login,1000,17,17,23,4,170,0.0,47.067683328626565,149.8258128000565
ajax post search,1000,16,15,25,6,182,0.0,47.072114479382414,192.04632043165128
get view hotel,1000,14,13,21,3,172,0.0,47.07433036765052,132.8799854658005
post book hotel,1000,19,18,24,6,181,0.0,47.065468066079916,303.9370264037276
ajax post cc number,1000,15,13,23,5,74,0.0,47.07433036765052,25.317898837264043
ajax post cc name,1000,16,15,22,5,78,0.0,47.069898799717585,26.694516356789833
post booking details,1000,17,16,25,6,91,0.0,47.067683328626565,155.70476869175374
post confirm booking,1000,18,17,25,6,194,0.0,47.09428275407366,356.31074426627106
cancel booking,1000,18,15,29,6,173,0.0,47.14979489839219,316.6221076547692
get logout,1000,16,14,27,4,176,0.0,47.15201810637495,106.02158899354018
TOTAL,11000,16,16,24,2,194,0.0,514.2109199700823,1853.5342505375843
