sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,9,4,22,1,290,0.0,90.27715085311908,145.2016283741085
post login,4000,27,16,62,5,346,0.0,90.27307605506657,267.2731007391108
ajax post search,4000,17,7,44,3,401,0.0,90.28122601904934,233.37344264885118
get view hotel,4000,23,11,57,3,293,0.0,90.28530155290719,211.1653293156374
post book hotel,4000,145,123,287,9,794,0.0,90.27715085311908,1030.1645583190395
ajax post cc number,4000,15,6,39,2,319,0.0,90.29345372460497,152.6347347629797
ajax post cc name,4000,13,5,29,2,304,0.0,90.29549199756202,154.84266010519426
post booking details,4000,20,10,50,3,276,0.0,90.29141554366718,220.08532538768875
post confirm booking,4000,11,4,26,1,270,0.0,90.29753036254458,23.191650864598852
get confirm booking,4000,22,12,53,5,332,0.0,90.28937745474245,503.5573044811747
cancel booking,4000,28,15,65,5,354,0.0,90.28937745474245,466.2159236956007
get logout,4000,23,11,57,2,325,0.0,90.29549199756202,145.2311282421725
TOTAL,48000,29,10,76,1,794,0.0,1081.8851849347488,3547.9350282515725
