sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,12000,72,37,163,2,1604,0.0,118.4389743184824,173.49459128683947
post login,12000,98,23,324,3,1677,0.0,118.43196083849828,326.87799472484306
ajax post search,12000,89,24,294,4,1618,0.0,118.43312969414644,512.6153643545888
get view hotel,12000,86,21,301,1,1539,0.0,118.4378053474669,286.2852259941373
post book hotel,12000,45,20,106,3,1358,0.0,118.43079200592153,686.6661269430051
ajax post cc number,12000,42,18,102,1,1325,0.0,118.4378053474669,38.07474720930921
ajax post cc name,12000,38,18,85,1,1340,0.0,118.43429857286671,36.91703492331379
post booking details,12000,40,19,86,2,1323,0.0,118.43312969414644,328.02622862035275
post confirm booking,12000,142,48,414,5,1801,0.0,118.42962319641553,921.4368258146972
cancel booking,12000,137,45,400,5,1670,0.0,118.43312969414644,796.9011385618271
get logout,12000,65,25,177,3,1616,0.0,118.44131232974061,206.13761955169963
TOTAL,132000,78,24,244,1,1801,0.0,1300.8130081300812,4306.979859571323
