sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,1000,29,29,34,6,181,0.0,49.046054244935995,71.84480602285547
post login,1000,16,17,21,3,43,0.0,49.02201088288641,135.25527063213883
ajax post search,1000,15,15,19,4,171,0.0,49.026817669265085,212.2032919975977
get view hotel,1000,13,13,18,2,42,0.0,49.02441415825081,118.50072234410237
post book hotel,1000,17,17,21,4,52,0.0,49.02201088288641,284.23143827516054
ajax post cc number,1000,13,12,18,2,169,0.0,49.031625398381955,15.762422621966168
ajax post cc name,1000,15,15,20,3,168,0.0,49.02201088288641,15.280601224324721
post booking details,1000,16,16,21,3,162,0.0,49.017205038968676,135.76377613229744
post confirm booking,1000,19,19,23,6,168,0.0,49.046054244935995,381.6008133981559
cancel booking,1000,15,15,21,6,162,0.0,49.14246400314512,330.66495512678756
get logout,1000,13,13,19,3,69,0.0,49.15937469275391,85.55795506218661
TOTAL,11000,16,16,26,2,181,0.0,535.410075444147,1772.6902835239716
