sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,12000,57,18,152,2,1144,0.0,75.18278815369868,161.9390022852435
post login,12000,151,31,493,4,1688,0.0,75.17713612699923,230.05429688234153
ajax post search,12000,139,30,470,5,1586,0.0,75.17996203411917,306.72202101358255
get view hotel,12000,132,26,459,2,1777,0.0,75.1809040503712,212.14549707499293
post book hotel,12000,142,34,462,6,1690,0.0,75.17760709676611,486.5066595809161
ajax post cc number,12000,91,30,270,5,1509,0.0,75.18043303929431,54.67796784548541
ajax post cc name,12000,93,30,275,5,1536,0.0,75.1794910348457,48.877302469802906
post booking details,12000,98,30,289,5,1990,0.0,75.1794910348457,248.62928356685964
post confirm booking,12000,247,123,653,6,2307,0.0,75.17996203411917,559.4819356647475
cancel booking,12000,186,51,565,6,2219,0.0,75.18043303929431,496.0520728263457
get logout,12000,106,38,312,3,1382,0.0,75.18184609023075,168.31741437688345
TOTAL,132000,131,32,422,2,2307,0.0,826.1979870812678,2970.602558035323
