sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,12000,19,1,439,23.98809176561478,0.0,144.32791301837776,234.55963824809967,1664.19
post login,12000,45,4,424,37.424306235683545,0.0,144.27932477276008,485.5478331048911,3446.1
ajax post search,12000,23,2,397,26.1323018498605,0.0,144.2966739616652,321.594166356028,2282.19
get view hotel,12000,25,2,438,26.926980861700574,0.0,144.2932037901015,374.5690931472753,2658.19
post book hotel,12000,367,7,1031,180.97129597781208,0.0,144.24290505210774,1375.5194998377267,9765.0
ajax post cc number,12000,16,1,436,18.9594647645898,0.0,144.26891726177595,168.52835560484743,1196.19
ajax post cc name,12000,17,1,445,20.348951954823672,0.0,144.26718282258744,171.48493384748554,1217.19
post booking details,12000,38,3,480,32.69983460447043,0.0,144.24290505210774,388.2162561753994,2756.0
post confirm booking,12000,22,1,453,29.53245496612818,0.0,144.26718282258744,23.55471708604335,167.19
get confirm booking,12000,21,2,469,26.948300023558485,0.0,144.26718282258744,839.8477417677539,5961.19
cancel booking,12000,48,5,481,42.52811383040896,0.0,144.25157474635765,768.7312923739,5457.0
get logout,12000,20,1,457,24.89344507875294,0.0,144.27065174266926,234.60746735876504,1665.19
TOTAL,144000,55,1,1031,111.47824450340072,0.0,1726.7429311461256,5372.9725384919775,3186.3016666666667
