sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,22,11,59,2,391,0.0,94.16639201468996,211.85139219125193
post login,4000,54,41,121,4,511,0.0,94.17082587814295,320.6567201184198
ajax post search,4000,30,19,72,4,356,0.0,94.17304296645085,390.2111536197763
get view hotel,4000,34,21,85,3,476,0.0,94.17747745626635,272.2317707720199
post book hotel,4000,30,19,72,4,355,0.0,94.17969485778866,639.0239451874176
ajax post cc number,4000,25,14,62,3,371,0.0,94.18412997409936,87.00994819872852
ajax post cc name,4000,24,13,61,3,345,0.0,94.19300145999154,79.56733033485612
post booking details,4000,26,15,64,4,349,0.0,94.19078343184118,319.64157463442206
post confirm booking,4000,41,28,93,5,401,0.0,94.18856550814732,723.4307761873646
cancel booking,4000,32,20,76,5,377,0.0,94.19078343184118,646.7798020006711
get logout,4000,40,29,87,3,412,0.0,94.21962594808498,219.81512342770998
TOTAL,44000,33,20,79,2,511,0.0,1034.6124905944318,3904.8745964056034
