sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,2000,12,1,41,5.181400365731255,0.0,100.4066469200261,194.51336506601737,1983.75
post login,2000,16,2,191,7.556639398568649,0.0,100.33612602217428,317.8176187101791,3243.55
ajax post search,2000,13,3,188,8.464511267639734,0.0,100.33109260559847,318.0417251931373,3246.0
get view hotel,2000,14,2,183,7.463645205259963,0.0,100.32605969400551,260.9810007524455,2663.76
post book hotel,2000,16,3,199,12.21535689204372,0.0,100.32605969400551,607.9328128918987,6205.0
ajax post cc number,2000,12,2,186,7.665740407814497,0.0,100.34115994380895,60.55745785671283,618.0
ajax post cc name,2000,14,2,179,6.341397144951575,0.0,100.32605969400551,61.52809129671432,628.0
post booking details,2000,15,2,194,7.5711034697724235,0.0,100.32102728731942,288.0075616974318,2939.76
post confirm booking,2000,16,3,201,9.833398077470472,0.0,100.32102728731942,650.5191613162119,6640.0
cancel booking,2000,15,3,201,10.029173395649313,0.0,100.3461943705785,577.4805892830265,5893.0
get logout,2000,14,2,196,7.413395915503234,0.0,100.35122930255895,202.8349222277973,2069.76
TOTAL,22000,14,1,201,8.476197937106488,0.0,1095.781242217463,3514.844800642526,3284.5981818181817
