sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,2000,15,14,26,2,190,0.0,77.20219254226821,167.106822200938
post login,2000,20,18,29,3,200,0.0,77.16644802839726,245.67513709101783
ajax post search,2000,19,16,32,5,225,0.0,77.14561234329797,314.74366411523624
get view hotel,2000,17,14,27,3,290,0.0,77.14561234329797,217.76488669238188
post book hotel,2000,21,19,35,5,187,0.0,77.13073659853453,498.0910895921712
ajax post cc number,2000,19,16,32,4,233,0.0,77.1426367353236,41.48955500752141
ajax post cc name,2000,19,16,31,4,244,0.0,77.13668620796051,43.74621849448472
post booking details,2000,21,17,33,4,233,0.0,77.13371128851864,255.16822229694552
post confirm booking,2000,22,19,37,6,216,0.0,77.12181390506305,583.4965644641962
cancel booking,2000,24,19,43,6,235,0.0,77.13966135688665,518.0173088141705
get logout,2000,21,17,39,3,236,0.0,77.1426367353236,173.45842042013808
TOTAL,22000,20,17,33,2,290,0.0,844.0761203192142,3042.6244952328884
