sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,2000,27,29,32,3,185,0.0,94.16195856873823,124.04734580979286
post login,2000,15,16,19,2,179,0.0,94.14422895876483,234.87697997081528
ajax post search,2000,11,12,15,2,177,0.0,94.1575255402288,256.19214461418954
get view hotel,2000,14,15,18,1,48,0.0,94.14422895876483,210.55485519440782
post book hotel,2000,14,15,18,2,184,0.0,94.14422895876483,541.4387224039729
ajax post cc number,2000,12,13,16,1,171,0.0,94.16195856873823,30.178723811205277
ajax post cc name,2000,14,15,17,1,183,0.0,94.14866073530104,29.255041366567813
post booking details,2000,15,16,18,2,182,0.0,94.14422895876483,247.32994463142535
post confirm booking,2000,15,16,19,2,175,0.0,94.17082587814295,528.9006953926923
cancel booking,2000,13,13,17,2,179,0.0,94.17082587814295,461.49130538421696
get logout,2000,13,13,17,2,182,0.0,94.17082587814295,158.1950321946511
TOTAL,22000,15,15,25,1,185,0.0,1028.1815207739403,2801.890488444642
