sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,16000,81,37,212,3,2399,0.0,116.16088282270945,170.1575431973283
post login,16000,154,28,490,2,2760,0.0,116.16256951603769,320.9293796805348
ajax post search,16000,127,27,404,4,2875,0.0,116.16341288107044,503.03569086828526
get view hotel,16000,115,22,386,2,2595,0.0,116.16425625834931,281.0373890654041
post book hotel,16000,61,22,162,3,2397,0.0,116.16172616325078,673.7284970351534
ajax post cc number,16000,52,18,140,1,2390,0.0,116.16509964787454,37.586209194739894
ajax post cc name,16000,48,18,118,1,2424,0.0,116.16256951603769,36.47523825805152
post booking details,16000,52,19,129,2,2550,0.0,116.16256951603769,322.02556467033423
post confirm booking,16000,210,68,593,5,3198,0.0,116.16003949441344,904.0867674090321
cancel booking,16000,180,47,542,5,3197,0.0,116.16678646366522,781.9145556983439
get logout,16000,84,29,253,2,2396,0.0,116.16847332844458,202.42576278670018
TOTAL,176000,106,26,325,1,3198,0.0,1276.3149307091526,4228.501192239498
