sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,500,2,2,3,1,11,0.0,68.20351930159596,109.49861887873413
post login,500,7,7,9,5,20,0.0,68.20351930159596,237.7132425658164
ajax post search,500,4,4,5,3,14,0.0,68.2407533779173,174.93357189163368
get view hotel,500,4,4,7,3,14,0.0,68.2407533779173,159.4727762044493
post book hotel,500,12,12,16,9,28,0.0,68.2407533779173,784.9019465674901
ajax post cc number,500,3,3,4,2,14,0.0,68.3900971139379,98.24397739707291
ajax post cc name,500,2,3,4,2,13,0.0,68.39945280437756,99.39295485636116
post booking details,500,5,5,7,4,16,0.0,68.3900971139379,166.36692569415948
post confirm booking,500,2,2,4,1,9,0.0,68.40881105486386,17.703452079627855
get confirm booking,500,6,6,8,4,18,0.0,68.40881105486386,415.7973046928444
cancel booking,500,7,7,9,5,17,0.0,68.46501437765302,387.99070159523484
get logout,500,4,4,6,2,18,0.0,68.50253459377997,109.97867858610768
TOTAL,6000,5,4,10,1,28,0.0,812.4576844955992,2736.9536010494244
