sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,20000,50,21,98,1,1059,0.0,132.60489046836045,299.3840360391085
post login,20000,140,29,486,3,2169,0.0,132.59609902276677,452.67236690045013
ajax post search,20000,141,29,485,3,1994,0.0,132.60137375023206,548.4712732073123
get view hotel,20000,126,26,449,2,1835,0.0,132.59961546111515,384.3914778330736
post book hotel,20000,133,31,453,4,1870,0.0,132.59697811486876,900.7554156024378
ajax post cc number,20000,62,23,156,2,1017,0.0,132.60137375023206,123.29271846490704
ajax post cc name,20000,58,24,128,2,3104,0.0,132.59785721862735,113.0602233569468
post booking details,20000,63,27,150,3,1029,0.0,132.59697811486876,451.0686979764044
post confirm booking,20000,193,43,631,4,2958,0.0,132.59697811486876,1016.6960119490595
cancel booking,20000,172,37,582,4,2803,0.0,132.6136830798202,909.7066455824724
get logout,20000,104,47,319,3,1312,0.0,132.61632109063663,310.4575467700466
TOTAL,220000,113,29,376,1,3104,0.0,1457.13699074718,5504.350046787758
