sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,16000,56,18,176,1,920,0.0,97.4599500517756,157.81332089069258
post login,16000,204,126,477,6,1607,0.0,97.4350230190242,339.72138531288823
ajax post search,16000,85,25,264,3,1056,0.0,97.45163962383667,251.18596694486064
get view hotel,16000,99,34,294,3,1254,0.0,97.45401388719698,229.12769259539834
post book hotel,16000,235,182,514,9,1709,0.0,97.44511099607175,1117.9542617010263
ajax post cc number,16000,66,21,204,2,1137,0.0,97.45460747111385,141.36955462863705
ajax post cc name,16000,66,21,207,2,1113,0.0,97.4552010622617,143.0307051930679
post booking details,16000,130,59,343,4,1303,0.0,97.43620973144145,236.45408318616404
post confirm booking,16000,91,23,293,1,1346,0.0,97.44511099607175,25.17429970842596
get confirm booking,16000,140,68,362,5,1316,0.0,97.43680309849034,592.2330688330115
cancel booking,16000,169,89,424,7,1455,0.0,97.4379898542693,552.2754815568155
get logout,16000,94,31,284,2,1208,0.0,97.44570447153976,157.87896220515063
TOTAL,192000,119,45,345,1,1709,0.0,1167.521024499699,3938.135049773565
