sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,8000,32,29,55,2,274,0.0,189.62288748251916,249.80593282609212
post login,8000,23,17,45,2,313,0.0,189.60491076718887,473.1008216706563
ajax post search,8000,21,16,43,1,269,0.0,189.61839298411945,515.9305374496327
get view hotel,8000,20,15,40,1,269,0.0,189.60940462646946,424.0640257631778
post book hotel,8000,17,15,29,2,285,0.0,189.61389869877462,1090.5002696072622
ajax post cc number,8000,17,14,30,1,283,0.0,189.6273821939888,60.77520562719256
ajax post cc name,8000,18,15,31,1,285,0.0,189.61389869877462,58.91918596383115
post booking details,8000,19,16,33,2,313,0.0,189.60940462646946,498.13019944539246
post confirm booking,8000,27,18,55,2,362,0.0,189.61839298411945,1064.9720757288458
cancel booking,8000,25,18,51,2,406,0.0,189.6273821939888,929.2834307148952
get logout,8000,21,16,41,2,257,0.0,189.6273821939888,318.5499282971461
TOTAL,88000,22,16,43,1,406,0.0,2078.0692847191062,5662.994777522611
