sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,16,14,27,1,223,0.0,142.1918879527923,319.75817381180906
post login,4000,20,17,33,3,242,0.0,142.13630872006252,500.63836414433945
ajax post search,4000,19,16,33,3,231,0.0,142.12620807276863,586.5481985503127
get view hotel,4000,18,16,31,2,231,0.0,142.13125821696337,409.9820559286501
post book hotel,4000,20,17,35,4,246,0.0,142.12115828744004,962.232412506662
ajax post cc number,4000,17,14,30,2,231,0.0,142.12115828744004,97.98587670989518
ajax post cc name,4000,17,15,28,2,221,0.0,142.12620807276863,99.3773095508812
post booking details,4000,18,16,29,3,226,0.0,142.13125821696337,481.46408520768927
post confirm booking,4000,23,18,40,4,275,0.0,142.12620807276863,1105.2255809408755
cancel booking,4000,24,19,44,4,268,0.0,142.1565143222688,990.6532091833108
get logout,4000,22,17,39,3,253,0.0,142.1666192777936,331.6425131504123
TOTAL,44000,20,16,34,1,275,0.0,1555.6498373638808,5855.895365975463
