sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,8000,23,1,577,33.62361566829741,0.0,139.44813400965677,313.72425656713557,2303.75
post login,8000,45,3,644,61.72198366009877,0.0,139.41654177268134,474.73612968788126,3486.8875
ajax post search,8000,48,3,639,66.34389095357142,0.0,139.4019655677145,575.4415121628215,4227.0
get view hotel,8000,43,2,514,60.92998653564905,0.0,139.4019655677145,403.06226911549453,2960.76
post book hotel,8000,46,4,648,63.7433898043554,0.0,139.40439472354365,945.8806001359193,6948.0
ajax post cc number,8000,31,2,605,42.83331466113001,0.0,139.40925328918706,128.51790537596932,944.0
ajax post cc name,8000,29,2,564,38.57183998398313,0.0,139.40682396403304,117.76064719618024,865.0
post booking details,8000,30,3,409,38.0333151195682,0.0,139.40682396403304,473.1881469347924,3475.76
post confirm booking,8000,64,4,834,82.04686089325722,0.0,139.40439472354365,1067.7233084147977,7843.0
cancel booking,8000,64,4,644,82.52082934629293,0.0,139.41168269901016,955.187857242437,7016.0
get logout,8000,42,2,610,56.63555958053209,0.0,139.41897143653821,325.36902459002107,2389.76
TOTAL,88000,42,1,834,60.64320145746953,0.0,1529.7430726975629,5766.403112831589,3859.9925
