sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,1000,14,15,17,2,45,0.0,39.02743628771026,63.42682538637162
post login,1000,31,31,33,8,61,0.0,38.9833151411196,131.1537294850304
ajax post search,1000,14,14,16,3,39,0.0,38.99395593682979,86.90587529245467
get view hotel,1000,15,15,17,3,40,0.0,38.99091511677779,101.21607485768317
post book hotel,1000,29,29,32,11,61,0.0,38.96964264837691,371.61968795058647
ajax post cc number,1000,13,14,16,2,44,0.0,38.99547652472313,45.55273346104352
ajax post cc name,1000,15,15,17,2,32,0.0,38.99395593682979,46.35063791674791
post booking details,1000,29,30,32,13,50,0.0,38.97116134060795,104.88722720187062
post confirm booking,1000,15,16,18,2,43,0.0,38.9924354675193,6.366352818178274
get confirm booking,1000,16,16,18,3,40,0.0,38.99091511677779,226.9846223486178
cancel booking,1000,27,28,30,11,59,0.0,38.97875657766517,207.72175258234262
get logout,1000,13,14,16,2,31,0.0,39.0015600624025,63.4228591799922
TOTAL,12000,19,16,31,2,61,0.0,464.1089108910891,1444.0940630317914
