sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,30,22,67,3,325,0.0,44.736724377041114,100.64670779649263
post login,4000,81,67,163,7,530,0.0,44.7372247262641,157.26947572166736
ajax post search,4000,60,55,110,6,350,0.0,44.73972664027023,166.1574027470192
get view hotel,4000,71,66,128,5,420,0.0,44.742729306487696,128.6353467561521
post book hotel,4000,62,58,111,7,411,0.0,44.74373028479384,302.2823497169959
ajax post cc number,4000,61,57,111,6,361,0.0,44.74673348845534,30.89447321908001
ajax post cc name,4000,31,22,70,3,350,0.0,44.750237735637974,31.421309503831736
post booking details,4000,253,235,429,21,849,0.0,44.742729306487696,150.48238255033556
post confirm booking,4000,50,40,104,7,409,0.0,44.760252895428856,327.35308233788396
cancel booking,4000,37,29,78,6,358,0.0,44.76275738585497,292.5097678106815
get logout,4000,76,73,130,6,430,0.0,44.763258317572934,104.43303136785327
TOTAL,44000,74,52,149,3,849,0.0,491.6146188310745,1789.785595534547
