sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,12000,36,30,64,2,477,0.0,201.05554159336518,264.86711485297815
post login,12000,28,17,62,2,373,0.0,201.05891026070637,501.7224832032036
ajax post search,12000,25,17,55,1,394,0.0,201.06901694006467,547.0864104572645
get view hotel,12000,23,16,49,1,316,0.0,201.05891026070637,449.67100165035856
post book hotel,12000,19,15,36,2,303,0.0,201.05891026070637,1156.3223864436031
ajax post cc number,12000,19,14,37,1,308,0.0,201.06901694006467,64.44222721636702
ajax post cc name,12000,19,15,37,1,325,0.0,201.05554159336518,62.474475370696155
post booking details,12000,21,16,40,2,317,0.0,201.06564793405047,528.2273392731477
post confirm booking,12000,33,19,80,2,374,0.0,201.06564793405047,1129.2643981853826
cancel booking,12000,30,19,68,2,317,0.0,201.06901694006467,985.3540333188117
get logout,12000,24,17,48,2,320,0.0,201.06227904093294,337.75910330412347
TOTAL,132000,25,17,52,1,477,0.0,2205.7717694634293,6011.041391641462
