sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,3000,21,16,43,2,209,0.0,51.86184005808526,86.85845283165648
post login,3000,59,44,110,9,306,0.0,51.83674879911532,135.05902909769497
ajax post search,3000,29,20,62,4,258,0.0,51.84929139301763,185.21944132388523
get view hotel,3000,30,20,62,4,230,0.0,51.84749922228751,116.75560628089247
post book hotel,3000,79,62,152,13,419,0.0,51.8295843267337,496.936385663937
ajax post cc number,3000,25,18,55,2,249,0.0,51.854668648667335,7.8490953520932
ajax post cc name,3000,5,2,9,1,176,0.0,51.86184005808526,7.606251269534627
post booking details,3000,78,59,153,14,449,0.0,51.83674879911532,139.81748064761376
post confirm booking,3000,79,61,165,10,419,0.0,51.84749922228751,385.05881990771144
cancel booking,3000,88,71,171,11,453,0.0,51.841227600269576,309.1741962449671
get logout,3000,36,23,77,4,341,0.0,51.86632319634861,86.91407938356875
TOTAL,33000,48,33,114,1,453,0.0,568.4656595062962,1951.0768783860312
