sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,12000,37,1,858,61.586468697756345,0.0,98.02079674570955,158.51800723720217,1656.0
post login,12000,148,6,1317,130.2742896033585,0.0,97.98557978884108,341.61945156654446,3570.1
ajax post search,12000,55,3,708,77.40082115394871,0.0,98.00398549541015,252.3794040540982,2637.0
get view hotel,12000,72,3,779,91.86412872582832,0.0,98.00478590037812,230.17725594766546,2405.0
post book hotel,12000,192,9,1415,168.24305152564168,0.0,97.99278119845171,1124.2374936712995,11748.0
ajax post cc number,12000,52,2,818,75.01568609478176,0.0,98.00718719372755,141.93814317216595,1483.0
ajax post cc name,12000,51,2,794,73.62765318549931,0.0,98.00638674953652,143.56404309014138,1500.0
post booking details,12000,101,4,884,103.57738973347415,0.0,97.99358142041696,237.80668928685174,2485.0
post confirm booking,12000,62,2,847,88.88150355291245,0.0,98.00798765099356,25.07626246539093,262.0
get confirm booking,12000,108,6,1071,108.7989928185293,0.0,97.99358142041696,595.6172370709719,6224.0
cancel booking,12000,122,6,1146,116.19771210572164,0.0,97.99598216473125,555.438164535254,5804.0
get logout,12000,68,2,877,88.06836680654536,0.0,98.01038910124474,158.8648865529746,1659.8
TOTAL,144000,89,1,1415,111.85992173513044,0.0,1173.6993536502864,3957.596162858936,3452.825
