sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,3000,38,37,50,4,215,0.0,79.58615200955035,235.57190111420613
post login,3000,39,37,52,6,228,0.0,79.55449482895784,312.3135441527446
ajax post search,3000,14,14,22,3,196,0.0,79.59671000265323,158.57157070841072
get view hotel,3000,26,24,36,3,225,0.0,79.59037487066564,267.4034510718171
post book hotel,3000,40,39,53,7,235,0.0,79.55027577428935,578.5261954500556
ajax post cc number,3000,12,13,20,2,191,0.0,79.6030461432324,33.89348449067318
ajax post cc name,3000,15,15,19,2,194,0.0,79.59459817993687,33.21986266615372
post booking details,3000,42,41,55,6,252,0.0,79.56715467854869,286.4885854286017
post confirm booking,3000,40,39,54,8,253,0.0,79.56082425013923,482.72597760362794
cancel booking,3000,41,40,55,7,257,0.0,79.56293428101628,454.145850461465
get logout,3000,25,23,37,4,230,0.0,79.59882193743532,246.83252656610682
TOTAL,33000,30,31,48,2,257,0.0,870.0696055684455,3071.3628299425886
