sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,1000,15,2,98,8.413959293935289,0.0,45.10396463849172,97.15072441195706,2205.623
post login,1000,19,5,109,8.331805026523364,0.0,45.07956543298922,137.9043777892981,3132.552
ajax post search,1000,18,5,96,8.908153512372806,0.0,45.07956543298922,183.91608650205112,4177.726
get view hotel,1000,15,3,88,8.582542979793342,0.0,45.08566275924257,127.223110628945,2889.532
post book hotel,1000,20,6,95,9.281556765974122,0.0,45.073469755701794,291.6894821762598,6626.737
ajax post cc number,1000,17,6,89,9.620057172387282,0.0,45.08769556787953,32.79147962317958,744.737
ajax post cc name,1000,18,6,114,10.041065879676323,0.0,45.081597691822196,29.30906992437562,665.737
post booking details,1000,19,6,107,9.491224947286835,0.0,45.081597691822196,149.09245989146606,3386.541
post confirm booking,1000,19,6,112,10.60962506406329,0.0,45.08363013389838,335.5055953011586,7620.454
cancel booking,1000,19,6,105,10.656576889414346,0.0,45.08972855983407,297.5096027031292,6756.524
get logout,1000,18,5,92,10.9570753397063,0.0,45.095828635851184,100.96123696448703,2292.547
TOTAL,11000,18,2,114,9.723945629388608,0.0,492.6328989206861,1771.2177654339648,3681.700909090909
