sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,3000,13,13,21,1,214,0.0,127.41558717349754,247.08545139626247
post login,3000,18,17,26,2,206,0.0,127.39394454116947,403.7915290989002
ajax post search,3000,16,14,27,2,188,0.0,127.37230925996687,404.00904343395746
get view hotel,3000,15,15,24,2,208,0.0,127.36149437486732,331.5577902780726
post book hotel,3000,17,16,27,3,213,0.0,127.35608762098829,771.971910022924
ajax post cc number,3000,14,13,25,2,200,0.0,127.37230925996687,77.11995287224558
ajax post cc name,3000,15,15,22,2,197,0.0,127.35608762098829,78.35384296994395
post booking details,3000,17,16,23,2,217,0.0,127.35608762098829,365.8701604686704
post confirm booking,3000,19,17,29,3,206,0.0,127.35608762098829,826.0733730259806
cancel booking,3000,18,16,30,3,196,0.0,127.36149437486732,733.1992278709404
get logout,3000,17,15,28,2,198,0.0,127.37230925996687,257.70005413323145
TOTAL,33000,16,15,27,1,217,0.0,1392.228831793444,4468.472394712695
