sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,16000,33,1,722,58.7986694788613,0.0,164.2912884544297,369.6777604466156,2304.139375
post login,16000,77,2,1117,122.38209616770888,0.0,164.27442041931045,578.9795498399608,3609.0528125
ajax post search,16000,77,3,1221,122.26904578019737,0.0,164.27779374922997,678.2243206856544,4227.6055
get view hotel,16000,70,2,1235,116.40731816550183,0.0,164.28116721769308,474.0351429342413,2954.7634375
post book hotel,16000,72,3,1320,117.80975519639108,0.0,164.2761070669528,1112.4563200419416,6934.394125
ajax post cc number,16000,44,2,707,73.48687234484363,0.0,164.28285400388117,113.50746981623422,707.5093125
ajax post cc name,16000,41,2,797,68.56787070020022,0.0,164.279480466143,115.10409647890036,717.4760625
post booking details,16000,42,2,754,67.4029639606716,0.0,164.27779374922997,556.6335862419915,3469.688625
post confirm booking,16000,101,4,1318,144.89474965458493,0.0,164.2761070669528,1277.7504195939043,7964.7396875
cancel booking,16000,95,3,1471,140.96683289646316,0.0,164.28285400388117,1145.115334504918,7137.6779375
get logout,16000,65,2,1061,94.23274967301707,0.0,164.28622768017578,383.38657929120757,2389.65775
TOTAL,176000,65,1,1471,108.84763814485976,0.0,1804.313950627409,6794.482590068328,3856.0640568181816
