sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,19,10,51,2,242,0.0,98.93153937475267,222.47519755391767
post login,4000,48,36,108,4,344,0.0,98.93643334157804,348.47798277887705
ajax post search,4000,27,17,63,3,371,0.0,98.94867037724181,409.90259740259745
get view hotel,4000,29,18,73,2,324,0.0,98.956014051754,285.3682709910445
post book hotel,4000,26,16,62,4,333,0.0,98.95846218549764,669.9990413398976
ajax post cc number,4000,22,13,54,2,377,0.0,98.96580731357315,68.23228512049087
ajax post cc name,4000,22,12,55,2,355,0.0,98.9731535321044,69.39719163676853
post booking details,4000,24,14,57,3,317,0.0,98.9756025139803,335.2025288266442
post confirm booking,4000,36,24,84,5,366,0.0,98.9756025139803,771.7971050409511
cancel booking,4000,29,19,66,4,369,0.0,98.98295018683031,691.2857353582564
get logout,4000,34,26,75,3,392,0.0,98.99029895070282,230.8484705998812
TOTAL,44000,29,18,70,2,392,0.0,1086.9565217391303,4096.740071292923
