sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,16000,231,238,380,4,991,0.0,76.98266446624551,227.865679684756
post login,16000,233,241,382,6,930,0.0,76.9748869431348,302.1865678822284
ajax post search,16000,11,8,19,2,595,0.0,76.98155329529162,154.1346141991272
get view hotel,16000,223,230,373,3,937,0.0,76.98081253247628,259.39488702314
post book hotel,16000,236,241,385,6,962,0.0,76.97451662409013,559.7941136519718
ajax post cc number,16000,9,7,18,1,330,0.0,76.98192368204542,33.55306760937447
ajax post cc name,16000,9,7,17,1,330,0.0,76.98340526470263,32.87049504238899
post booking details,16000,232,238,381,5,3118,2.5E-4,76.9756275919137,277.1101874161086
post confirm booking,16000,236,243,386,6,987,2.5E-4,76.97636825494574,466.95141971785756
cancel booking,16000,238,246,385,6,993,2.5E-4,76.97599792164806,439.29149137838755
get logout,16000,226,233,380,3,976,0.0,76.98266446624551,239.42511259466463
TOTAL,176000,171,168,365,1,3118,6.818181818181818E-5,845.852917711968,2989.3974065792095
