sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,2000,13,13,18,1,181,0.0,98.92175289346127,191.82995196112375
post login,2000,16,17,21,3,78,0.0,98.85330170027679,313.31380208333337
ajax post search,2000,13,13,20,3,184,0.0,98.83864591055102,313.50382999752907
get view hotel,2000,15,14,20,2,191,0.0,98.81911161618658,257.2539404120757
post book hotel,2000,16,16,21,3,194,0.0,98.80934736426066,598.9351748925449
ajax post cc number,2000,13,13,18,2,179,0.0,98.81911161618658,59.83188398636296
ajax post cc name,2000,15,15,19,2,191,0.0,98.80934736426066,60.7909070698088
post booking details,2000,16,16,20,3,175,0.0,98.80446596186147,283.8467048710602
post confirm booking,2000,17,16,22,3,194,0.0,98.80934736426066,640.9098488216986
cancel booking,2000,15,14,23,4,271,0.0,98.81422924901186,568.8573060770751
get logout,2000,14,14,20,3,65,0.0,98.82399446585632,199.9410144283032
TOTAL,22000,15,15,20,1,271,0.0,1079.7016097369453,3465.3763158863367
