sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,3000,13,13,19,1,212,0.0,132.6259946949602,256.93048532824935
post login,3000,17,17,24,2,205,0.0,132.5556733828208,419.8933962420466
ajax post search,3000,15,14,26,2,200,0.0,132.5381047051027,420.1354373757455
get view hotel,3000,15,15,22,2,193,0.0,132.5322495140484,344.75986813041175
post book hotel,3000,16,16,23,3,207,0.0,132.520540683806,803.0175341240391
ajax post cc number,3000,14,13,23,2,199,0.0,132.5381047051027,79.9888170974155
ajax post cc name,3000,15,15,20,1,202,0.0,132.5322495140484,81.27954364728751
post booking details,3000,16,16,21,2,201,0.0,132.5263948403057,380.4646430622432
post confirm booking,3000,18,17,26,3,216,0.0,132.5322495140484,859.3888054426577
cancel booking,3000,17,15,28,3,204,0.0,132.5498166394203,762.8086615782265
get logout,3000,16,14,27,2,203,0.0,132.56153064380715,267.93999381379524
TOTAL,33000,16,15,24,1,216,0.0,1448.8935721812434,4647.512646947444
