sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,4000,2,2,5,1,66,0.0,65.98591200778634,105.93831966875072
post login,4000,50,15,161,4,982,0.0,65.98264656395368,230.02265833773217
ajax post search,4000,23,7,43,2,654,0.0,65.98591200778634,169.15333888714758
get view hotel,4000,27,9,72,3,767,0.0,65.97720487571544,154.18305787850298
post book hotel,4000,64,45,143,7,798,0.0,65.97394029358404,758.8291687283522
ajax post cc number,4000,21,6,43,2,652,0.0,65.97938144329898,94.78092783505154
ajax post cc name,4000,17,6,43,2,769,0.0,65.97938144329898,95.87628865979381
post booking details,4000,29,11,76,3,642,0.0,65.97720487571544,160.49728256387417
post confirm booking,4000,16,5,41,1,657,0.0,65.97938144329898,17.074742268041238
get confirm booking,4000,21,12,47,4,308,0.0,65.97720487571544,401.0821614647764
cancel booking,4000,21,12,46,5,405,0.0,65.97611664577423,373.91836860134754
get logout,4000,230,242,475,2,1604,0.0,65.97720487571544,105.92434064030877
TOTAL,48000,43,10,106,1,1604,0.0,790.9958307928085,2664.8008239282417
