sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,6000,20,1,368,23.693186896353886,0.0,96.17542397332734,155.5336934568653,1656.0
post login,6000,79,7,435,48.31983978283545,0.0,96.1076405574243,335.0486920350793,3569.85
ajax post search,6000,29,3,343,27.592388116511813,0.0,96.13381827503885,247.5633581946069,2637.0
get view hotel,6000,33,3,353,31.82027311671322,0.0,96.13535858488751,225.7866576139204,2405.0
post book hotel,6000,73,9,467,52.46908053638194,0.0,96.11533840608732,1102.6982378854625,11748.0
ajax post cc number,6000,29,2,386,29.651408368275227,0.0,96.13997981060423,139.23397466711532,1483.0
ajax post cc name,6000,28,2,371,27.722591347130592,0.0,96.14306087458138,140.83456182800006,1500.0
post booking details,6000,54,4,419,40.03909669171983,0.0,96.11687812379854,233.25238490003844,2485.0
post confirm booking,6000,32,2,340,31.672715376259664,0.0,96.14306087458138,24.599103465957345,262.0
get confirm booking,6000,56,6,421,41.59962488612928,0.0,96.1199577072186,584.2291179391881,6224.0
cancel booking,6000,65,6,502,47.75571929419089,0.0,96.12303748798462,544.8223726369753,5804.0
get logout,6000,34,2,364,32.395583371382926,0.0,96.14768284084353,155.84562888596884,1659.8
TOTAL,72000,44,1,502,41.94191715403047,0.0,1149.2234760817864,3875.0425846155686,3452.804166666667
