sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,16000,58,1,1139,107.29012378126889,0.0,92.75792500521764,150.45630399706943,1660.9605625
post login,16000,202,6,2019,203.9903087097426,0.0,92.7353449175235,274.61299294631783,3032.325
ajax post search,16000,87,3,1287,136.21696258170044,0.0,92.74770884175503,241.02571380411973,2661.0935625
get view hotel,16000,103,3,1215,145.92675177538504,0.0,92.74770884175503,218.22388431933325,2409.3453125
post book hotel,16000,253,8,1775,226.10335585067617,0.0,92.73964503900861,1055.7285568551986,11657.0
ajax post cc number,16000,71,2,1172,116.09253310936927,0.0,92.748246478465,158.07800770607503,1745.282375
ajax post cc name,16000,71,2,1015,116.50601334259265,0.0,92.74663358703403,159.2721737365445,1758.4973125
post booking details,16000,138,5,1384,161.2818038899615,0.0,92.74179524930155,225.51471696363365,2490.0
post confirm booking,16000,89,1,1719,145.13472748233312,0.0,92.75147242962483,22.669118813911563,250.272875
get confirm booking,16000,149,5,1676,168.73275045716477,0.0,92.7423328174541,517.1471878785771,5710.0
cancel booking,16000,176,6,1991,188.80375942761313,0.0,92.74340797245522,478.93275523275696,5288.0
get logout,16000,97,2,1347,142.00602084725526,0.0,92.74985942599432,150.49947474957537,1661.581625
TOTAL,192000,125,1,2019,168.94546238294885,0.0,1111.3876717007124,3647.1350134328854,3360.36321875
