sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
get login,20000,71,1,3090,140.0571707453424,0.0,92.04755176524193,149.6894680557601,1665.24815
post login,20000,248,6,4269,278.8683114997292,0.0,92.03018590097551,272.5369702512424,3032.46
ajax post search,20000,117,3,3416,190.79247888192552,0.0,92.03738558602505,239.5450832909578,2665.1579
get view hotel,20000,141,3,3963,207.6380724289202,0.0,92.03780913199141,216.9393763129769,2413.63765
post book hotel,20000,278,9,4281,278.92245743962604,0.0,92.03145635178103,1047.666686223351,11657.0
ajax post cc number,20000,93,2,3143,169.4261613387673,0.0,92.03780913199141,157.21343992174485,1749.1351
ajax post cc name,20000,87,2,3684,152.64863938859725,0.0,92.03780913199141,158.4434524374488,1762.82005
post booking details,20000,162,4,3706,224.3163516105714,0.0,92.03187984317768,223.78845782178948,2490.0
post confirm booking,20000,112,2,3639,193.82836815666974,0.0,92.03780913199141,22.897676678079357,254.7564
get confirm booking,20000,176,6,3468,222.09766836614358,0.0,92.03187984317768,513.1855799849068,5710.0
cancel booking,20000,222,7,3814,257.4570920370228,0.0,92.03357384773965,475.26712744809305,5288.0
get logout,20000,137,2,3532,206.93432588359403,0.0,92.03950335483991,149.73743214962863,1665.9274
TOTAL,240000,154,1,4281,223.809347149042,0.0,1103.2200234434256,3623.0060384417593,3362.8452208333333
