sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,1000,30,30,33,8,172,0.0,36.18468664061369,107.10525899189463
post login,1000,32,31,35,11,177,0.0,36.1755236407047,142.01719241761023
ajax post search,1000,10,11,14,3,52,0.0,36.200405444540976,72.11799522154648
get view hotel,1000,17,17,20,4,158,0.0,36.19647446338727,121.610963685887
post book hotel,1000,32,33,36,12,73,0.0,36.17159806120234,263.0565339470448
ajax post cc number,1000,9,9,12,2,55,0.0,36.22269714202919,15.422945267504618
ajax post cc name,1000,15,15,17,2,157,0.0,36.21613791105317,15.115286152759671
post booking details,1000,33,34,37,15,82,0.0,36.19647446338727,130.32851693995005
post confirm booking,1000,31,32,35,9,175,0.0,36.19778469557663,219.62581671251718
cancel booking,1000,29,30,33,11,76,0.0,36.2043372796061,206.6546400383766
get logout,1000,14,14,17,4,61,0.0,36.22269714202919,112.32502739341471
TOTAL,11000,23,27,34,2,177,0.0,394.7179560786565,1393.3620942927373
