sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth
get login,1000,13,13,16,2,43,0.0,55.0478916657492,106.64185067571287
post login,1000,16,16,18,4,54,0.0,55.01760563380282,174.2457000302597
ajax post search,1000,13,13,16,4,38,0.0,55.03880235566074,174.4687035610105
get view hotel,1000,14,14,17,4,177,0.0,55.03274448296737,143.1582260194816
post book hotel,1000,16,16,18,4,172,0.0,55.026687943652675,333.43808465855943
ajax post cc number,1000,13,13,16,2,171,0.0,55.0357732526142,33.21494909190974
ajax post cc name,1000,15,15,18,5,176,0.0,55.0297160466652,33.74869304424389
post booking details,1000,16,16,18,5,44,0.0,55.02366017387477,157.96519065698251
post confirm booking,1000,16,16,19,4,165,0.0,55.0297160466652,356.83331499009466
cancel booking,1000,14,14,17,5,173,0.0,55.10249063257659,317.1083762673573
get logout,1000,13,13,17,5,34,0.0,55.09338328466752,111.3575009641342
TOTAL,11000,14,15,18,2,177,0.0,600.3711385219954,1925.735731804661
